154;HOLIDAY;Lil Nas X;5.594.780;https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli;;;;;
155;Freaks;Surf Curse;5.590.424;https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb;;;;;
156;Dick (feat. Doja Cat);StarBoi3;5.566.956;https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0;;;;;
157;SICKO MODE;Travis Scott;5.562.114;https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h;;;;;
158;Blueberry Faygo;Lil Mosey;5.553.187;https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW;;;;;
159;Cupid's Chokehold / Breakfast in America;Gym Class Heroes;5.551.773;https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK;;;;;
160;Ride It;Regard;5.548.145;https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ;;;;;
161;Falling;Harry Styles;5.526.849;https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp;;;;;
162;Tapão Na Raba;Raí Saia Rodada;5.487.779;https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr;;;;;
163;Mr. Perfectly Fine (Taylor’s Version) (From The Vault);Taylor Swift;5.480.722;https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK;;;;;
164;512;Mora;5.476.770;https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2;;;;;
165;when the party's over;Billie Eilish;5.467.596;https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I;;;;;
166;SugarCrash!;ElyOtto;5.464.630;https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX;;;;;
167;Machu Picchu;Camilo;5.446.485;https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf;;;;;
168;Somebody That I Used To Know;Gotye;5.431.643;https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7;;;;;
169;Wishing Well;Juice WRLD;5.427.778;https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv;;;;;
170;Do I Wanna Know?;Arctic Monkeys;5.415.420;https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt;;;;;
171;Another One Bites The Dust - Remastered 2011;Queen;5.412.006;https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7;;;;;
172;The Hills;The Weeknd;5.395.551;https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB;;;;;
173;Rain On Me (with Ariana Grande);Lady Gaga;5.394.507;https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9;;;;;
174;Jocelyn Flores;XXXTENTACION;5.390.854;https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96;;;;;
175;Life Is Good (feat. Drake);Future;5.388.956;https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3;;;;;
176;Otra Noche Sin Ti;J Balvin;5.377.794;https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx;;;;;
177;Bubblegum Bitch;MARINA;5.373.945;https://open.spotify.com/track/1yOL7ZiXGx5ULeLoktAUAg;;;;;
178;Every Breath You Take;The Police;5.372.227;https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1;;;;;
179;Riptide;Vance Joy;5.315.216;https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm;;;;;
